GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.nhnacademy.bookstore.orderset.order.service,OrderService,863,0,60,0,171,0,59,0,29,0
bookstore,com.nhnacademy.bookstore.coupon.enums,DiscountType,0,15,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.review.entity,Review,54,0,0,0,21,0,4,0,4,0
bookstore,com.nhnacademy.bookstore.refund.entity,RefundPolicy.PolicyType,0,15,0,0,0,3,0,1,0,1
bookstore,com.nhnacademy.bookstore.review.dto.request,ReviewCreateRequestDto,0,9,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.review.dto.request,ReviewModifyRequestDto,0,12,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.review.dto.request,ReviewRequestDto,0,6,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.review.dto.request,ReviewImageUrlRequestDto,0,6,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.review.dto.request,ReviewDetailRequestDto,0,18,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.review.dto.request,ReviewModifyDetailRequestDto,0,15,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.controller,MemberController,0,57,0,0,0,13,0,7,0,7
bookstore,com.nhnacademy.bookstore.user.member.controller,MemberAddressController,0,46,0,0,0,9,0,5,0,5
bookstore,com.nhnacademy.bookstore.bookset.contributor.entity,ContributorRole,0,5,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.contributor.entity,Contributor,0,22,0,0,0,8,0,3,0,3
bookstore,com.nhnacademy.bookstore.common.error.exception.point,PointTypeNotFoundException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.point,SignUpPointPolicyNotFoundException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.common.error.exception.point,PointAmountException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.point,PointPolicyNotFoundException,4,0,0,0,2,0,1,0,1,0
